Date,Balance
2017-11-21,0.06223934577
2017-11-22,-0.03490581738
2017-11-23,0.1226659333
2017-11-24,0.03897040745
2017-11-25,0.0
2017-11-26,0.0
2017-11-27,-0.4523712348
2017-11-28,0.05103751647
2017-11-29,0.5052844762
2017-11-30,0.3664667354
2017-12-01,0.09736111292
2017-12-02,0.0
2017-12-03,0.0
2017-12-04,0.1122394773
2017-12-05,0.1856440652
2017-12-06,0.2963299485
2017-12-07,0.2170449589
2017-12-08,0.3263404223
2017-12-09,0.0
2017-12-10,0.0
2017-12-11,0.02211868277
2017-12-12,0.09621614413
2017-12-13,-0.03031976944
2017-12-14,0.3122291488
2017-12-15,0.9761226429
2017-12-16,0.0
2017-12-17,0.0
2017-12-18,-0.933812258
2017-12-19,0.4338393999
2017-12-20,0.7036327369
2017-12-21,0.2280200157
2017-12-22,-0.1269485248
2017-12-23,0.0
2017-12-24,0.0
2017-12-25,-0.9359826802
2017-12-26,-0.4553665429
2017-12-27,0.2363573286
2017-12-28,0.5413793462
2017-12-29,0.17613351
2017-12-30,0.002981600437
2017-12-31,0.0
2018-01-01,0.0
2018-01-02,0.0
2018-01-03,-0.000784619153
2018-01-04,0.0007715172498
2018-01-05,0.0007407582101
2018-01-06,-0.1068507278
2018-01-07,0.0
2018-01-08,0.0
2018-01-09,-0.5670238532
2018-01-10,-0.1971575282
2018-01-11,0.2338358007
2018-01-12,0.4041623868
2018-01-13,0.0
2018-01-14,0.0
2018-01-15,-2.38
2018-01-16,-0.3446198675
2018-01-17,-0.4074156695
2018-01-18,-0.1782537193
2018-01-19,-0.003839424436
2018-01-20,0.0
2018-01-21,0.0
2018-01-22,-0.1251409216
2018-01-23,-0.1037778908
2018-01-24,-0.1645145985
2018-01-25,-0.1713541077
2018-01-26,-0.4141022843
2018-01-27,0.0
2018-01-28,0.0
2018-01-29,-0.3797232095
2018-01-30,0.002206011692
2018-01-31,0.4529646345
2018-02-01,0.01228159434
2018-02-02,0.08669472877
2018-02-03,0.0
2018-02-04,0.0
2018-02-05,0.01631087448
2018-02-06,0.06866013225
2018-02-07,-0.09203341613
2018-02-08,-0.08034405941
2018-02-09,0.0680632866
2018-02-10,0.0
2018-02-11,0.0
2018-02-12,-0.03190894893
2018-02-13,0.0923336869
2018-02-14,-0.1914285725
2018-02-15,-0.1841190087
2018-02-16,0.2520722753
2018-02-17,0.0
2018-02-18,0.0
2018-02-19,-0.2442398347
2018-02-20,-0.1505753919
2018-02-21,0.1231584987
2018-02-22,-0.06326180454
2018-02-23,0.0
2018-02-24,0.0
2018-02-25,0.0
2018-02-26,-0.1559753454
2018-02-27,-0.6329861347
2018-02-28,-0.1624058487
2018-03-01,0.1415857265
2018-03-02,-0.04125694054
2018-03-03,0.0
2018-03-04,0.0
2018-03-05,0.1686159298
2018-03-06,0.3691358105
2018-03-07,0.128452346
2018-03-08,0.0
2018-03-09,-1.669167866e-05
2018-03-10,0.0
2018-03-11,0.0
2018-03-12,-0.1961700042
2018-03-13,-0.153802505
2018-03-14,-0.01751489693
2018-03-15,0.05343506556
2018-03-16,0.05816739959
2018-03-17,0.0001217577556
2018-03-18,0.0
2018-03-19,-0.09395671575
2018-03-20,0.09317575328
2018-03-21,0.04586331896
2018-03-22,0.03542919482
2018-03-23,0.1951651717
2018-03-24,0.0
2018-03-25,0.0
2018-03-26,-0.8648673231
2018-03-27,0.46247991
2018-03-28,-0.2068878061
2018-03-29,0.8544068352
2018-03-30,-0.9962698236
2018-03-31,1.02721e-05
2018-04-01,0.0
2018-04-02,-0.2646927655
2018-04-03,-0.1618104226
2018-04-04,-0.2139477336
2018-04-05,0.1924628802
2018-04-06,0.3669050035
2018-04-07,0.0
2018-04-08,0.0
2018-04-09,-0.1068959657
2018-04-10,-0.1048849217
2018-04-11,-0.2320126173
2018-04-12,0.2183295943
2018-04-13,0.2454015449
2018-04-14,0.0
2018-04-15,0.0
2018-04-16,-0.103281586
2018-04-17,-1.51
2018-04-18,-0.1183332423
2018-04-19,0.1637489926
2018-04-20,-0.02629446447
2018-04-21,0.0
2018-04-22,0.0
2018-04-23,-0.2571485368
